gene	expr	reptime	hic
CLK3	635020	206	51
CLK4	492630	675	17
CLLU1	NaN	NaN	NaN
CLLU1OS	168575	582	19
CLMN	207561	612	30
CLN3	NaN	NaN	NaN
CLN5	213768	637	24
CLN6	376180	365	33
CLN8	100540	544	-13
CLNK	214087	1111	17
CLNS1A	603969	401	30
CLOCK	235221	384	22
CLP1	923511	354	15
CLPB	755787	258	56
CLPP	943949	407	31
CLPS	621095	404	34
CLPTM1	1003719	196	6
CLPTM1L	612621	541	30
CLPX	678641	189	61
CLRN1	353086	635	10
CLRN2	271399	912	37
CLRN3	434702	806	-25
CLSPN	1224684	303	25
CLSTN1	614159	177	31
CLSTN2	93930	998	9
CLSTN3	1872466	224	33
CLTA	857985	257	46
CLTB	576954	347	45
CLTC	1083057	398	23
CLTCL1	488349	222	11
CLU	346863	361	29
CLUAP1	805495	246	39
CLUL1	449991	486	23
CLVS1	491040	596	1
CLVS2	138384	1106	-26
CLYBL	308985	612	45
CMA1	898202	411	17
CMAS	605789	955	-13
CMBL	625000	192	9
CMC1	84882	793	10
CMIP	334492	428	21
CMKLR1	437015	597	27
CMPK1	257134	210	7
CMPK2	41287	1132	-4
CMTM1	777342	214	9
CMTM2	777342	214	9
CMTM3	777342	214	9
CMTM4	790767	145	9
CMTM5	1220624	456	31
CMTM6	436595	592	31
CMTM7	306655	592	19
CMTM8	306655	590	11
CMYA5	263588	684	38
CNBD1	148474	1191	-31
CNBP	1130979	189	50
CNDP1	162886	941	13
CNDP2	162468	969	7
CNFN	792230	218	42
CNGA1	220829	474	40
CNGA2	126208	NaN	-2
CNGA3	228601	630	29
CNGA4	466636	728	4
CNGB1	822498	125	10
CNGB3	191008	1171	2
CNIH	399536	371	17
CNIH2	2133752	236	53
CNIH3	408298	633	-5
CNIH4	628752	256	18
CNKSR1	896535	217	30
CNKSR2	90158	NaN	-2
CNKSR3	109534	588	14
CNN1	1152381	272	31
CNN2	2387949	206	26
CNN3	282666	333	-6
CNNM1	270704	575	-6
CNNM2	711862	233	38
CNNM3	879415	332	48
CNNM4	936233	332	49
CNO	501020	201	62
CNOT1	660382	191	8
CNOT10	464002	493	28
CNOT2	156657	609	-17
CNOT3	735613	439	-53
CNOT4	579978	407	19
CNOT6	625675	485	17
CNOT6L	152352	493	18
CNOT7	237338	387	4
CNOT8	523671	378	41
CNP	2081077	206	23
CNPY1	267612	599	-5
CNPY2	2869106	184	52
CNPY3	1143209	203	41
CNPY4	1299015	205	52
CNR1	172187	799	37
CNR2	923316	254	23
CNRIP1	204433	586	15
CNST	416573	346	4
CNTD1	1633092	190	33
CNTD2	1005838	400	30
CNTF	284768	644	2
CNTFR	843127	370	55
CNTLN	31539	761	-22
CNTN1	22448	1105	-22
CNTN2	655446	431	37
CNTN3	5646	949	-21
CNTN4	52413	1215	-22
CNTN5	3647	1135	-26
CNTN6	6599	831	-23
CNTNAP1	1740597	177	36
CNTNAP2	4892	1115	-31
CNTNAP3	51498	1010	-36
CNTNAP4	11522	975	-26
CNTNAP5	1260	1308	-14
CNTROB	1794630	337	33
COASY	1884163	177	38
COBL	133439	509	-22
COBLL1	76781	413	-4
COBRA1	1724821	399	43
COCH	428678	454	11
COG1	221646	251	-11
COG2	379098	568	3
COG3	763957	379	50
COG4	925955	131	47
COG5	492317	753	18
COG6	73269	761	11
COG7	521590	611	28
COG8	1202748	125	20
COIL	333715	254	-10
COL10A1	NaN	NaN	NaN
COL11A1	37620	742	-20
COL11A2	1474628	377	24
COL12A1	359824	486	-8
COL13A1	591993	561	26
COL14A1	262056	839	-5
COL15A1	199434	148	18
COL16A1	1126016	197	37
COL17A1	455010	271	19
COL18A1	513400	481	41
COL19A1	93520	947	15
COL1A1	1277832	210	26
COL1A2	461036	499	-14
COL20A1	1278630	332	62
COL21A1	263671	483	-11
COL22A1	5667	846	-22
COL23A1	533179	634	18
COL24A1	263693	863	-12
COL25A1	157338	437	-5
COL27A1	224550	425	3
COL28A1	220971	682	6
COL2A1	374433	246	47
COL3A1	205492	515	-5
COL4A1	429137	434	12
COL4A2	521715	478	32
COL4A3	253951	211	10
COL4A3BP	253484	500	37
COL4A4	248623	465	5
COL4A5	118458	NaN	19
COL4A6	171617	NaN	31
COL5A1	229207	421	31
COL5A2	237205	422	1
COL5A3	1386309	413	1
COL6A1	764197	590	23
COL6A2	742075	538	10
COL6A3	423594	399	10
COL6A5	202934	533	11
COL6A6	198659	527	16
COL7A1	1386275	212	37
COL8A1	226950	419	-2
COL8A2	853740	282	27
COL9A1	126322	633	5
COL9A2	627703	373	18
COL9A3	1044503	208	48
COLEC10	180181	380	2
COLEC11	253814	371	14
COLEC12	587478	572	14
COLQ	507200	256	40
COMMD1	563800	420	26
COMMD10	312789	981	8
COMMD2	449009	263	21
COMMD3	195915	462	23
COMMD4	814680	296	43
COMMD5	1454261	384	20
COMMD6	197100	362	35
COMMD7	661510	132	45
COMMD8	87789	528	23
COMMD9	222571	248	-8
COMP	1351321	189	26
COMT	645345	217	24
COMTD1	208687	275	38
COPA	939853	358	27
COPB1	365537	228	11
COPB2	246935	671	15
COPE	1390116	198	20
COPG	1119201	189	55
COPG2	298918	433	16
COPS2	317456	528	8
COPS3	910162	218	11
COPS4	556523	169	47
COPS5	393936	518	12
COPS6	1503181	254	41
COPS7A	2816186	232	48
COPS7B	955894	365	41
COPS8	336171	411	17
COPZ1	664708	190	45
COPZ2	1205950	255	20
COQ10A	2878071	171	46
COQ10B	681973	428	29
COQ2	344601	218	40
COQ3	259457	638	13
COQ4	1813435	201	46
COQ5	1552470	216	46
COQ6	443041	158	51
COQ7	861035	199	8
COQ9	749108	159	39
CORIN	113961	622	44
CORO1A	NaN	NaN	NaN
CORO1B	1392213	215	53
CORO1C	451218	217	40
CORO2A	494263	272	50
CORO2B	396006	603	25
CORO6	719319	383	30
CORO7	754886	161	41
CORT	829921	392	32
COTL1	575674	182	24
COX10	96214	985	-54
COX11	131464	869	-43
COX15	422578	304	12
COX16	500896	549	32
COX17	288657	595	42
COX18	255276	747	14
COX19	765060	346	34
COX4I1	381135	298	28
COX4I2	837796	213	18
COX4NB	381135	298	28
COX5A	792240	199	45
COX5B	362146	520	25
COX6A1	1573849	216	44
COX6A2	839076	558	11
COX6B1	1162794	390	27
COX6B2	1028808	209	19
COX6C	282641	537	29
COX7A1	978272	326	6
COX7A2	394127	423	-3
COX7A2L	251919	375	16
COX7B	549293	NaN	19
COX7B2	86349	938	11
COX7C	84088	829	-14
COX8A	1322584	277	42
COX8C	NaN	NaN	NaN
CP	388273	312	10
CP110	349996	491	21
CPA1	419615	298	27
CPA2	424934	212	30
CPA3	306125	544	-14
CPA4	424934	212	30
CPA5	422275	212	28
CPA6	232126	890	15
CPAMD8	947295	386	29
CPB1	276750	681	-16
CPB2	354901	679	53
CPD	491081	265	22
CPE	171042	494	-9
CPEB1	567143	566	19
CPEB2	105433	624	23
CPEB3	423765	469	33
CPEB4	164298	381	43
CPLX1	694849	268	39
CPLX2	473039	624	32
CPLX3	764533	195	46
CPLX4	293564	549	20
CPM	645106	228	28
CPN1	1067171	188	51
CPN2	344707	269	34
CPNE1	1423559	169	53
CPNE2	745404	154	48
CPNE3	192772	1166	22
CPNE4	238347	974	8
CPNE5	844979	244	43
CPNE6	992350	355	19
CPNE7	1094600	211	38
CPNE8	87865	674	-4
CPNE9	955408	348	34
CPO	169586	723	2
CPOX	364371	640	6
CPPED1	75434	797	-3
CPS1	158852	465	-1
CPSF1	2043455	200	36
CPSF2	337384	415	29
CPSF3	658161	278	37
CPSF3L	1744013	273	28
CPSF4	1327454	288	60
CPSF6	758784	353	3
CPSF7	1394229	286	57
CPT1A	619314	303	45
CPT1B	1073094	203	43
CPT1C	1716449	192	41
CPT2	527317	391	27
CPVL	112083	634	7
CPXCR1	1148	NaN	-19
CPXM1	796251	438	41
CPXM2	147419	771	10
CPZ	92046	471	35
CR1	442029	361	18
CR1L	386490	361	13
CR2	447441	354	30
CRABP1	505232	435	56
CRABP2	1851672	180	37
CRADD	375586	385	13
CRAMP1L	1534704	320	36
CRAT	1428394	206	30
CRB1	212549	428	-23
CRB2	346407	389	44
CRB3	865106	219	33
CRBN	61304	1017	-8
CRCP	501759	345	35
CRCT1	325831	700	20
CREB1	184506	198	25
CREB3	922448	190	48
CREB3L1	801520	158	36
CREB3L2	227556	553	20
CREB3L3	2256881	244	42
CREB3L4	2028800	222	34
CREB5	58752	518	26
CREBBP	637890	242	39
CREBL2	791567	157	32
CREBZF	325720	554	-19
CREG1	481959	506	15
CREG2	475096	278	19
CRELD1	950574	170	54
CRELD2	842221	271	15
CREM	179129	346	15
CRH	277437	480	30
CRHBP	245514	418	17
CRHR1	408198	563	16
CRHR2	484075	433	32
CRIM1	267484	414	-1
CRIP1	689089	298	41
CRIP2	689089	298	41
CRIP3	1293543	363	51
CRIPAK	1018381	507	41
CRIPT	603816	252	35
CRISP1	70111	1258	-4
CRISP2	67596	1248	-6
CRISP3	67784	1246	-2
CRISPLD1	137515	703	-22
CRISPLD2	444452	243	21
CRK	1380844	220	18
CRKL	523674	192	49
CRLF1	1397040	222	33
CRLF2	NaN	NaN	NaN
CRLF3	617388	264	30
CRLS1	301141	290	4
CRMP1	101380	643	14
CRNKL1	230275	685	10
CRNN	387153	671	6
CROCC	681579	247	45
CROT	222199	876	3
CRP	737948	602	-2
CRTAC1	530090	369	12
CRTAM	651341	416	7
CRTAP	513008	372	33
CRTC1	1398467	222	29
CRTC2	2028800	222	34
CRTC3	1079582	204	41
CRX	881316	336	39
CRY1	169569	473	18
CRY2	429658	271	34
CRYAA	687433	279	59
CRYAB	437513	221	22
CRYBA1	1533931	159	32
CRYBA2	922162	386	35
CRYBA4	161795	547	-4
CRYBB1	162003	462	-9
CRYBB2	174680	535	-35
CRYBB3	247839	525	-31
CRYBG3	123806	723	-0
CRYGA	321897	440	5
CRYGB	321897	440	5
CRYGC	327858	440	13
CRYGD	327858	440	13
CRYGN	612907	196	36
CRYGS	676664	501	35
CRYL1	346767	584	28
CRYM	467861	575	37
CRYZ	103167	1070	-17
CRYZL1	909314	375	58
CS	2878071	171	46
CSAD	1729009	191	55
CSAG1	NaN	NaN	NaN
CSAG2	NaN	NaN	NaN
CSAG3	202421	NaN	-2
CSDA	410051	455	-4
CSDC2	1467336	183	66
CSDE1	600480	472	3
CSE1L	862939	155	50
CSF1	785919	216	30
CSF1R	1127889	228	50
CSF2	362855	407	21
CSF2RA	NaN	NaN	NaN
CSF2RB	750264	469	44
CSF3	1652518	216	28
CSF3R	581032	347	31
CSGALNACT1	171847	356	17
CSGALNACT2	450604	563	-9
CSH1	1446139	380	27
CSH2	1446139	380	27
CSHL1	1446139	380	27
CSK	746043	199	41
CSMD1	10896	1290	-36
CSMD2	137660	907	16
CSMD3	9197	1295	-29
CSN1S1	9744	991	-0
CSN2	9753	991	-4
CSN3	201562	928	3
CSNK1A1	607110	152	32
CSNK1A1L	156140	631	31
CSNK1D	2856070	193	24
CSNK1E	1550040	181	63
CSNK1G1	743794	263	43
CSNK1G2	1944774	239	36
CSNK1G3	121115	474	23
CSNK2A1	671817	229	40
CSNK2A2	862670	292	15
CSNK2B	2517236	193	20
CSPG4	578030	231	39
CSPG5	888051	200	35
CSPP1	353616	640	25
CSRNP1	213514	500	30
CSRNP2	564607	155	40
CSRNP3	104412	947	2
CSRP1	842013	209	26
CSRP2	182028	705	-11
CSRP2BP	782027	479	-6
CSRP3	132848	504	16
CST1	160568	881	-48
CST11	188567	750	-16
CST2	159399	889	-45
CST3	189028	819	-21
CST4	189028	819	-21
CST5	159399	889	-45
CST6	3854361	208	57
CST7	545344	676	-29
CST8	188567	750	-16
CST9	189307	772	-47
CST9L	189307	772	-47
CSTA	534078	602	44
CSTB	919787	170	68
CSTF1	254679	672	-43
CSTF2	341945	NaN	21
CSTF2T	NaN	NaN	NaN
CSTF3	588753	326	16
CSTL1	188567	750	-16
CT45A5	246199	NaN	26
CT62	276800	462	10
CTAG2	2090264	NaN	31
CTAGE1	162557	417	-9
CTAGE4	215477	711	-8
CTAGE5	314800	300	16
CTAGE6P	453170	544	-7
CTBP1	858194	391	33
CTBP2	283236	508	20
CTBS	245445	585	-1
CTCF	1074126	147	45
CTCFL	181464	562	10
CTDP1	275544	498	-3
CTDSP1	734742	197	37
CTDSP2	1051368	243	40
CTDSPL	408788	457	22
CTDSPL2	697417	534	37
CTF1	1508459	247	46
CTGF	169902	699	-4
CTH	339263	379	-3
CTHRC1	428438	615	23
CTLA4	148748	632	18
CTNNA1	1432876	380	39
CTNNA2	10595	1614	-24
CTNNA3	14523	1168	-41
CTNNAL1	337834	433	14
CTNNB1	305811	448	8
CTNNBIP1	770684	193	34
CTNNBL1	720832	507	48
CTNND1	921177	497	8
CTNND2	15425	1060	-13
CTNS	504736	354	20
CTPS	341851	171	29
CTPS2	295447	NaN	30
CTR9	794670	261	20
CTRB1	612638	171	16
CTRB2	612638	171	16
CTRC	554165	212	29
CTRL	879834	158	50
CTSA	725555	209	59
CTSB	470951	301	42
CTSC	148974	526	-10
CTSD	NaN	NaN	NaN
CTSE	468286	400	32
CTSF	1343990	194	62
CTSG	897577	582	3
CTSH	421272	488	45
CTSK	1818753	188	35
CTSL1	122983	577	26
CTSL2	339842	464	24
CTSO	44515	745	-2
CTSS	1818753	188	35
CTSW	3779084	287	42
CTSZ	1009250	152	30
CTTN	511118	530	43
CTTNBP2	96915	674	-11
CTTNBP2NL	559406	335	23
CTU2	802673	189	41
CTXN1	952640	320	27
CTXN3	284904	682	29
CUBN	529248	641	-4
CUEDC1	873797	222	6
CUEDC2	975992	178	39
CUL1	517446	532	0
CUL2	209586	319	7
CUL3	255624	463	20
CUL4A	787509	214	46
CUL4B	416744	NaN	14
CUL5	421044	572	14
CUL7	1239021	301	42
CUL9	1308754	363	35
CUTA	1441897	236	31
CUTC	709789	139	18
CUX1	554381	461	45
CUX2	493539	608	39
CUZD1	301441	588	12
CWC15	305262	504	-10
CWC22	35642	927	7
CWC25	1198833	207	37
CWC27	132018	601	8
CWF19L1	1070791	198	40
CWF19L2	147499	853	-10
CWH43	246165	439	49
CX3CL1	749108	159	39
CX3CR1	159083	507	38
CXADR	100910	366	-17
CXCL1	233432	444	6
CXCL10	489826	399	43
CXCL11	489826	399	43
CXCL12	33976	922	-34
CXCL13	405364	627	10
CXCL14	493676	608	26
CXCL16	1272092	222	28
CXCL17	704668	235	34
CXCL2	199590	368	13
CXCL3	199590	368	13
CXCL5	230379	408	2
CXCL6	233432	444	6
CXCL9	489826	399	43
CXCR1	718028	301	27
CXCR2	694517	301	27
CXCR3	947642	NaN	52
CXCR4	431866	406	42
CXCR5	1488276	175	54
CXCR6	NaN	NaN	NaN
CXCR7	121886	599	10
CXXC1	247194	379	68
CXXC4	18498	982	18
CXXC5	659730	244	42
CXorf1	1641	NaN	-34
CXorf21	81961	NaN	21
CXorf22	3828	NaN	-13
CXorf23	339910	NaN	56
CXorf26	102519	NaN	16
CXorf27	106141	NaN	28
CXorf36	72853	NaN	50
CXorf38	467563	NaN	63
CXorf40A	187616	NaN	16
CXorf40B	280868	NaN	34
CXorf41	229024	NaN	26
CXorf48	228366	NaN	23
CXorf56	617823	NaN	30
CXorf57	148900	NaN	12
CXorf58	528624	NaN	37
CXorf59	3834	NaN	-17
CXorf61	82720	NaN	4
CXorf65	759088	NaN	27
CXorf66	66755	NaN	14
CYB561	874574	267	-20
CYB561D1	1056159	272	37
CYB561D2	843769	206	51
CYB5A	152675	989	26
CYB5B	1161561	NaN	46
CYB5D1	2148615	337	24
CYB5D2	753798	357	30
CYB5R1	421206	389	30
CYB5R2	100503	853	13
CYB5R3	858524	189	74
CYB5R4	87867	870	-12
CYB5RL	465615	313	26
CYBA	802673	189	41
CYBASC3	1394229	286	57
CYBB	105298	NaN	9
CYBRD1	486534	352	34
CYC1	2720766	211	27
CYCS	254010	319	11
CYFIP1	352283	539	-19
CYFIP2	266925	1129	33
CYGB	1016866	197	24
CYHR1	2043455	200	36
CYLC1	19326	NaN	-45
CYLC2	13384	1215	-31
CYLD	279624	792	2
CYP11A1	641004	222	46
CYP11B1	447193	438	36
CYP11B2	447193	438	36
CYP17A1	883280	188	44
CYP19A1	263003	535	17
CYP1A1	746043	199	41
CYP1A2	746043	199	41
CYP1B1	716797	384	25
CYP20A1	417679	298	23
CYP21A2	NaN	NaN	NaN
CYP24A1	158398	386	-31
CYP26A1	558273	470	18
CYP26B1	72898	411	-5
CYP26C1	558273	470	18
CYP27A1	1077853	296	40
CYP27B1	1160849	344	39
CYP27C1	354277	226	19
CYP2A13	1004808	354	10
CYP2A6	1187304	275	31
CYP2A7	1187304	275	31
CYP2B6	1041792	375	14
CYP2C18	250078	725	1
CYP2C19	254705	831	-17
CYP2C8	318306	717	-10
CYP2C9	278564	721	-15
CYP2D6	1296288	363	43
CYP2E1	563924	525	-10
CYP2F1	1016551	354	11
CYP2J2	60418	824	-6
CYP2R1	353856	596	-13
CYP2S1	1098360	209	13
CYP2U1	144587	735	6
CYP2W1	765060	346	34
CYP39A1	113763	596	0
CYP3A4	1430454	438	42
CYP3A43	1535089	438	36
CYP3A5	1395063	430	34
CYP3A7	1430454	438	42
CYP46A1	375738	250	21
CYP4A11	492091	578	5
CYP4A22	364960	414	3
CYP4B1	658240	475	8
CYP4F11	843515	575	12
CYP4F12	865205	605	21
CYP4F2	825892	575	15
CYP4F22	772367	543	20
CYP4F3	852124	605	29
CYP4F8	852124	605	29
CYP4V2	371112	606	-2
CYP4X1	388889	479	4
CYP4Z1	366455	479	4
CYP51A1	691564	461	26
CYP7A1	200469	608	11
CYP7B1	8894	1018	22
CYP8B1	301212	447	21
CYR61	296507	345	13
CYS1	863812	214	44
CYSLTR1	486217	NaN	-9
CYSLTR2	404943	430	46
CYTH1	986469	250	32
CYTH2	1418188	209	41
CYTH3	NaN	NaN	NaN
CYTH4	902502	201	61
CYTIP	79169	895	18
CYTL1	76400	557	36
CYTSA	702019	200	38
CYTSB	302887	339	-13
CYYR1	345442	626	-75
CYorf15A	0	0	0
CYorf15B	0	0	0
D2HGDH	960711	380	30
D4S234E	143657	525	46
DAAM1	156241	405	32
DAAM2	53428	914	26
DAB1	22463	1004	-12
DAB2	167695	374	-7
DAB2IP	448984	475	22
DACH1	30451	1135	-22
DACH2	49531	NaN	-32
DACT1	303507	489	32
DACT3	1139694	347	28
DAD1	975314	380	49
DAG1	1657622	236	28
DAGLA	1235604	208	58
DAGLB	NaN	NaN	NaN
DAK	1394229	286	57
DALRD3	1799657	241	41
DAND5	1886809	335	40
DAO	494991	393	49
DAOA	13092	1235	-28
DAP	630950	435	29
DAP3	2240116	152	32
DAPK1	141078	494	26
DAPK2	678778	261	45
DAPK3	2173603	207	30
DAPL1	270644	361	14
DAPP1	204991	693	19
DARC	99569	785	14
DARS	440321	410	30
DARS2	442819	385	11
DAXX	1456953	262	30
DAZAP1	2352825	221	38
DAZAP2	494861	194	40
DAZL	140687	470	24
DBC1	3696	1010	-25
DBF4	202733	758	14
DBF4B	1261173	175	29
DBH	765804	481	31
DBI	203559	497	35
DBN1	1079488	261	50
DBNDD1	1056657	221	35
DBNDD2	1037999	382	35
DBNL	1096873	226	52
DBP	1597109	242	31
DBR1	190056	464	9
DBT	314135	495	9
DBX1	175444	453	-5
DBX2	126551	805	-18
DCAF10	477149	524	35
DCAF11	992350	355	19
DCAF12	779457	142	39
DCAF12L1	11311	NaN	-16
DCAF12L2	11596	NaN	-29
DCAF13	430771	673	28
DCAF15	930314	231	32
DCAF16	271201	1073	21
DCAF17	514096	271	38
DCAF4	354097	341	41
DCAF4L1	272281	261	25
DCAF4L2	26672	994	-27
DCAF5	680338	289	33
DCAF6	505920	417	13
DCAF7	934619	247	-1
DCAF8	866729	355	27
DCAF8L1	10501	NaN	25
DCAKD	831501	191	28
DCBLD1	189294	465	9
DCBLD2	337232	411	6
DCC	2849	995	-34
DCD	615189	494	31
DCDC1	84163	938	-25
DCDC2	362257	711	-12
DCDC2B	1460758	218	29
DCHS1	424523	491	17
DCHS2	63258	1024	3
DCI	2199935	194	42
DCK	267678	690	22
DCLK1	82515	1033	-14
DCLK2	88181	409	-4
DCLK3	374894	617	-14
DCLRE1A	264051	515	7
DCLRE1B	335231	545	13
DCLRE1C	255711	396	38
DCN	24351	591	-19
DCP1A	782208	167	43
DCP1B	232517	618	29
DCP2	274112	439	25
DCPS	367696	426	30
DCST1	1696720	214	44
DCST2	1654795	214	40
DCT	123751	906	-0
DCTD	204483	431	-12
DCTN1	1086740	343	42
DCTN2	1347795	303	44
DCTN3	731413	298	51
DCTN4	1015949	211	43
DCTN5	544239	561	38
DCTN6	452029	297	47
DCTPP1	2338593	142	59
DCUN1D1	232043	574	13
DCUN1D2	806605	318	46
DCUN1D3	252367	503	32
DCUN1D4	70055	766	17
DCUN1D5	166625	585	-9
DCX	131531	NaN	13
DCXR	3814891	211	28
DDA1	842088	211	43
DDAH1	309815	308	0
DDAH2	2517236	193	20
DDB1	1259416	286	50
DDB2	1274054	198	38
DDC	180088	561	11
DDHD1	306643	448	20
DDHD2	734603	277	44
DDI1	NaN	NaN	NaN
DDI2	677127	162	28
DDIT3	1347795	303	44
DDIT4	808655	145	40
DDIT4L	193061	795	-8
DDN	1737773	214	55
DDO	248863	469	20
DDOST	631461	208	35
DDR1	2223866	223	25
DDR2	322980	293	9
DDRGK1	909603	255	55
DDT	NaN	NaN	NaN
DDTL	NaN	NaN	NaN
DDX1	186504	1386	10
DDX10	250455	616	2
DDX11	335562	591	-4
DDX17	1313632	177	31
DDX18	194969	760	-7
DDX19A	1126886	134	44
DDX19B	1317982	139	47
DDX20	333198	440	25
DDX21	860888	246	52
DDX23	1655612	214	57
DDX24	200295	605	47
DDX25	611330	414	14
DDX26B	236195	NaN	25
DDX27	886628	261	50
DDX28	863919	158	54
DDX31	1546589	581	42
DDX39	954144	204	43
DDX3X	627364	NaN	54
DDX3Y	0	0	0
DDX4	331341	486	34
DDX41	1120311	347	41
DDX42	1259976	346	12
DDX43	723493	232	21
DDX46	893816	193	36
DDX47	742991	129	27
DDX49	1390116	198	20
DDX5	1171555	184	15
DDX50	897697	246	45
DDX51	608356	528	26
DDX52	585337	340	23
DDX53	86947	NaN	6
DDX54	468053	252	35
DDX55	929791	224	44
DDX56	1462615	191	56
DDX58	426359	362	-12
DDX59	371965	276	13
DDX6	1493911	154	36
DDX60	83741	350	-10
DDX60L	134820	238	-11
DEAF1	1774224	236	57
DEC1	117692	604	-17
DECR1	272948	534	25
DECR2	1549307	207	37
DEDD	NaN	NaN	NaN
DEDD2	790787	299	37
DEF6	682809	264	39
DEF8	1056657	221	35
DEFA1	NaN	NaN	NaN
DEFA1B	132154	699	-1
DEFA3	132154	699	-1
DEFA4	131884	628	11
DEFA5	124400	715	-3
DEFA6	131884	628	11
DEFB1	131884	628	11
DEFB108B	727046	465	37
DEFB110	70183	1258	-7
DEFB112	65301	1242	-3
DEFB113	70183	1258	-7
DEFB114	70183	1258	-7
DEFB115	562665	594	-29
DEFB116	562665	594	-29
DEFB118	591819	594	-83
DEFB119	591819	594	-83
DEFB121	598822	450	-79
DEFB123	605825	450	-76
DEFB124	605825	450	-76
DEFB125	86	430	NaN
DEFB126	215351	430	25
DEFB127	215351	430	25
DEFB128	215351	430	25
DEFB129	1010597	348	24
DEFB130	475312	625	0
DEFB131	176573	885	12
DEFB132	1010597	348	24
DEFB134	467502	451	22
DEFB135	467502	451	22
DEFB136	467502	451	22
DEFB4A	69060	693	-5
DEGS1	638932	174	13
DEGS2	405420	237	39
DEK	467694	497	4
DEM1	701723	457	31
DENND1A	314875	517	32
DENND1B	206539	480	-21
DENND1C	865106	219	33
DENND2A	356082	503	31
DENND2C	626568	394	8
DENND2D	400425	627	41
DENND3	360825	204	51
DENND4A	522427	240	42
DENND4B	2028800	222	34
DENND4C	499163	277	13
DENND5A	672390	330	31
DENND5B	300830	361	17
DENR	1042095	227	42
DEPDC1	196163	601	-18
DEPDC1B	166902	679	13
DEPDC4	184616	650	3
DEPDC5	557139	336	19
DEPDC6	244861	712	8
DEPDC7	415951	215	25
DERA	328516	534	10
DERL1	470881	412	33
DERL2	1145030	544	24
DERL3	637355	196	52
DES	604261	335	38
DET1	212296	630	4
DEXI	339622	430	41
DFFA	829921	392	32
DFFB	249345	412	26
DFNA5	254601	464	21
DFNB31	260520	290	19
DFNB59	170323	555	37
DGAT1	2525749	200	28
DGAT2	534135	418	46
DGAT2L6	163833	NaN	14
DGCR14	487560	277	18
DGCR2	474521	277	16
DGCR6	621867	545	-1
DGCR6L	605373	292	43
DGCR8	587146	218	50
DGKA	2080397	229	31
DGKB	24487	1141	-13
DGKD	397457	227	33
DGKE	320339	324	-38
DGKG	664709	533	32
DGKH	191275	407	57
DGKI	196508	861	-7
DGKK	43036	NaN	7
DGKQ	675007	256	45
DGKZ	811789	212	44
DGUOK	1036341	284	45
DHCR24	465622	249	27
DHCR7	507631	626	51
DHDDS	1046693	181	33
DHDH	1927185	211	43
DHDPSL	564805	169	40
DHFR	319054	626	35
DHFRL1	85529	1378	-18
DHH	1770671	214	65
DHODH	438866	372	19
DHPS	1975767	409	1
DHRS1	915114	220	38
DHRS11	468055	548	23
DHRS12	252271	384	33
DHRS13	1834230	220	37
DHRS2	1299548	595	26
DHRS3	340106	294	27
DHRS4	984811	442	23
DHRS4L1	992350	355	19
DHRS4L2	984811	442	23
DHRS7	277355	547	4
DHRS7B	409501	382	-18
DHRS7C	77786	204	-62
DHRS9	303546	646	12
DHRSX	NaN	NaN	NaN
DHTKD1	341646	227	25
DHX15	194657	491	35
DHX16	2115149	171	41
DHX29	280901	417	31
DHX30	843941	197	34
DHX32	206845	738	-4
DHX33	1145030	544	24
DHX34	1132395	232	41
DHX35	262965	581	31
DHX36	94558	921	-11
DHX37	1085697	229	46
DHX38	414449	479	9
DHX40	1081217	417	25
DHX57	850010	297	25
DHX58	2171374	206	37
DHX8	1124329	147	20
DHX9	673873	517	23
DIABLO	846994	187	29
DIAPH1	696745	502	14
DIAPH2	56713	NaN	30
DIAPH3	80757	890	22
DICER1	215900	674	16
DIDO1	961230	336	40
DIMT1L	176808	575	33
DIO1	505734	319	24
DIO2	47674	533	-44
DIO3	1315103	577	-26
DIP2A	895243	477	47
DIP2B	736380	262	49
DIP2C	406596	632	12
DIRAS1	1354357	291	25
DIRAS2	94332	706	13
DIRAS3	331080	524	-25
DIRC1	124843	739	-7
DIRC2	423454	412	37
DIS3	257535	685	2
DIS3L	530074	307	44
DIS3L2	497951	464	30
DISC1	236101	622	-3
DISP1	236778	210	5
DISP2	872646	184	42
DIXDC1	416878	221	22
DKC1	1739324	NaN	7
DKFZp761E198	3834148	287	55
DKK1	94567	519	-8
DKK2	48475	1014	-18
DKK3	324993	243	11
DKK4	535273	459	37
DKKL1	2183690	309	30
DLAT	403342	179	27
DLC1	73786	559	-28
DLD	470337	486	12
DLEC1	310440	411	28
DLEU7	136985	649	31
DLG1	751489	417	36
DLG2	57955	1000	-20
DLG3	306369	NaN	30
DLG4	1732485	316	18
DLG5	364785	259	27
DLGAP1	368461	215	24
DLGAP2	99986	671	-37
DLGAP3	603922	534	28
DLGAP4	874457	360	46
DLGAP5	764452	146	54
DLK1	383705	323	2
DLK2	1278255	230	56
DLL1	374629	631	-23
DLL3	1410725	230	39
DLL4	1049616	176	50
DLST	884998	232	41
DLX1	534370	295	34
DLX2	534370	295	34
DLX3	1160590	191	12
DLX4	1160590	191	12
DLX5	99426	991	-15
DLX6	99426	991	-15
DMAP1	962892	211	29
DMBT1	335358	404	2
DMBX1	592811	255	23
DMC1	1160654	238	38
DMD	31871	NaN	-12
DMGDH	215159	434	45
DMKN	954618	367	35
DMP1	500313	623	-7
